id;fee_id;subproduct_id;document_id;name;amount;category;tax;tax_amount;tax_category;status
;Balance Inquiry at the counter;Base Account;;placeholder - bancoctt;0,5;;;;;
;Balance Inquiry at the counter;Bank Account with Minimum Services;;placeholder - bancoctt;0,5;;;;;
;Consulting the transations on the account;Bank Account CTT;;placeholder - bancoctt;2;;;;;
;Consulting the transations on the account;Junior Account;;placeholder - bancoctt;2;;;;;
;Consulting the transations on the account;Base Account;;placeholder - bancoctt;2;;;;;
;Consulting the transations on the account;Bank Account with Minimum Services;;placeholder - bancoctt;2;;;;;
;Commissions for bank overdraft;Bank Account CTT;;placeholder - bancoctt;0;;;;;
;Commissions for bank overdraft;Junior Account;;placeholder - bancoctt;0;;;;;
;Commissions for bank overdraft;Base Account;;placeholder - bancoctt;0;;;;;
;Commissions for bank overdraft;Bank Account with Minimum Services;;placeholder - bancoctt;0;;;;;
;Account management fee;Demand Deposits Account;;placeholder - bancobai;5;;;;;
;Account management fee;Minimum Banking Services Account;;placeholder - bancobai;4,1;;;;;
;Integrated statement;Demand Deposits Account;;placeholder - bancobai;0;;;;;
;Integrated statement;Minimum Banking Services Account;;placeholder - bancobai;0;;;;;
;Single statement;Demand Deposits Account;;placeholder - bancobai;0;;;;;
;Single statement;Minimum Banking Services Account;;placeholder - bancobai;0;;;;;
;Cash Withdrawal;Demand Deposits Account;;placeholder - bancobai;20;;;;;
;Cash Withdrawal;Minimum Banking Services Account;;placeholder - bancobai;0;;;;;
;USD withdrawal in USD accounts;Demand Deposits Account;;placeholder - bancobai;0;;;;;
;USD withdrawal in USD accounts;Minimum Banking Services Account;;placeholder - bancobai;0;;;;;
;Account mantainance fee;Conta Mais Ordenado;;placeholder - bankinter;0;;;;;
;Account mantainance fee;Conta Bankinter (idade igual ou superior a 18 anos).;;placeholder - bankinter;15;;;;;
;Account mantainance fee;Conta Bankinter em Moeda Estrangeira;;placeholder - bankinter;20;;;;;
;Account mantainance fee;Conta B Dynamic ;;placeholder - bankinter;20;;;;;
;Account mantainance fee;Conta Internacional;;placeholder - bankinter;30;;;;;
;Account mantainance fee;Conta BK Mini;;placeholder - bankinter;0;;;;;
;Account mantainance fee;Conta B Prime;;placeholder - bankinter;20;;;;;
;Account mantainance fee;Conta Serviços Mínimos Bancários - Basic Services Account;;placeholder - bankinter;1,03;;;;;
;Fee for Cash Withdrawal;Conta Mais Ordenado;;placeholder - bankinter;4,81;;;;;
;Fee for Cash Withdrawal;Conta Bankinter (idade igual ou superior a 18 anos).;;placeholder - bankinter;4,81;;;;;
;Fee for Cash Withdrawal;Conta Bankinter em Moeda Estrangeira;;placeholder - bankinter;4,81;;;;;
;Fee for Cash Withdrawal;Conta B Dynamic ;;placeholder - bankinter;4,81;;;;;
;Fee for Cash Withdrawal;Conta Internacional;;placeholder - bankinter;4,81;;;;;
;Fee for Cash Withdrawal;Conta BK Mini;;placeholder - bankinter;4,81;;;;;
